,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,0,40,15,Median,40,[   0  206 1046],2,840,206,523.0,141090.3018582514,29.203921363783042,0.23821496906843465,161.1067645886034,1.6630822306032123,0.23821496906843465,161.1067645886034,1.6630822306032123
1,40,35,15,Mode,40,[   0  210  556 1046],3,490,210,348.6666666666667,58463.980490744725,18.77151388928592,0.0663805151825982,98.14459383307586,3.5380395349791143,0.1362802124674221,70.28631282972142,3.0877543752144474
2,20,35,10,Mode,40,[   0  282  556  659 1046],4,387,103,261.5,80619.20870246655,29.377516740215864,0.06713936859011248,99.61888894837963,4.0186675736777415,0.2318800873956376,108.57186251644832,1.5645646492035226
3,40,45,15,Median,40,[   0  210  556  682  855 1046],5,346,126,209.2,77989.3913710102,28.48754584622161,0.051482230684276716,93.64174734961287,2.8573480287337123,0.23185041957492633,109.06332110891641,1.633664077593218
4,60,35,15,Median,40,[   0  210  556  682  842  976 1046],6,346,70,174.33333333333334,73355.7586760216,29.702192490568528,0.03248835838152802,86.62336386461187,3.34570421985423,0.2655562040498555,113.22377853321068,1.4522545633850128
5,20,40,20,Mode,40,[   0  124  193  556  682  842  976 1046],7,363,69,149.42857142857142,56397.21426694985,28.116735671583097,0.012134478096198689,75.31112172459086,3.4326376344643803,0.24682083622485898,87.67082362886953,1.6639439246169978
6,0,50,15,Mode,40,[   0   55  252  332  556  682  855  976 1046],8,224,55,130.75,43433.285728661125,24.662746690206998,0.011101996256480864,68.08987956963027,3.3650085912027583,0.218470321669009,72.17550912567741,2.0145836720974737
7,0,50,15,Mode,40,[   0   55  252  332  485  556  682  855  976 1046],9,197,55,116.22222222222223,33427.889896263296,22.35468044541888,-0.027516420629429432,61.85101663279178,3.283468713666087,0.17762004824719968,56.460702199267715,2.146962899181154
8,0,50,20,Mode,40,[   0   55  193  252  332  556  682  800  855  976 1046],10,224,55,104.6,29458.450009879365,21.702966814346684,-0.025458621481596357,58.04305384954935,3.6258007046181504,0.174596911607372,49.87474727261968,2.2147531371404345
9,20,35,10,Median,40,[   0  141  206  282  332  485  556  682  795  855  976 1046],11,153,50,95.0909090909091,24116.22801286442,21.33536116256044,-0.021520347256101593,55.09537849375747,3.2765942403145405,0.17299869431751502,41.08637818208019,2.1654444538728383
10,0,50,15,Mode,40,[   0   55  141  193  282  332  485  556  682  800  855  976 1046],12,153,50,87.16666666666667,21148.24636149114,19.940166970986816,-0.036503374947650186,50.535120218795065,3.5053025316025592,0.15762267806267952,36.383658643483614,2.376905630585703
11,40,40,15,Mode,40,[   0   55  124  193  282  332  485  556  682  795  839  931  976 1046],13,153,44,80.46153846153847,19002.021235180055,19.54329139317737,-0.07114586556641321,47.21584160740598,3.2848998005233687,0.13813737363225861,30.76902432165011,2.322474485495871
