St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,35,10,Median,40,[   0  277 1046],2,769,277,523.0,5681.636229557281,5.2820134,0.5694362,1451.4942089850906,0.612705807594257,0.5694361925125122,1451.4942089850906,0.612705807594257
0,35,10,Mode,40,[   0  227 1046],2,819,227,523.0,5206.559602833554,5.4123564,0.5429026,1191.6020449703842,0.5763605040087496,0.5429025888442993,1191.6020449703842,0.5763605040087496
0,35,10,Median,40,[   0  277 1046],2,769,277,523.0,5681.636229557281,5.2820134,0.5694362,1451.4942089850906,0.612705807594257,0.5694361925125122,1451.4942089850906,0.612705807594257
0,35,10,Mode,40,[   0  227 1046],2,819,227,523.0,5206.559602833554,5.4123564,0.5429026,1191.6020449703842,0.5763605040087496,0.5429025888442993,1191.6020449703842,0.5763605040087496
0,35,10,Median,40,[   0  277  554  681  842 1046],5,277,127,209.2,1482.6225507062902,3.6219633,0.18760882,698.3167153053835,1.7360899437669581,0.4736575484275818,648.3781646198188,0.8079678982141634
0,35,10,Mode,40,[   0  227  556  682  842 1046],5,329,126,209.2,1436.641959813012,3.631486,0.13955393,594.2468801332669,1.6947366140505071,0.44536739587783813,530.2035430744437,0.8359099058502513
0,35,10,Median,40,[   0  277  554  681  842  976 1046],6,277,70,174.33333333333334,1302.0866849386073,3.5921528,0.18416528,660.3871152693831,3.0320843835490314,0.48966795206069946,597.5351899678701,0.7601061064932201
0,35,10,Mode,40,[   0  227  556  682  842  976 1046],6,329,70,174.33333333333334,1265.3616148420886,3.5997844,0.121932894,555.0490950673826,2.832010271279677,0.46732330322265625,503.8846083288342,0.7834319870619864
0,35,10,Median,40,[   0  227  277  554  681  842  976 1046],7,277,50,149.42857142857142,620.9173413016125,3.064437,0.10710301,604.4146619144271,2.8964281609441196,0.4469052851200104,308.75521754308875,0.9027614798701592
0,35,10,Mode,40,[   0  227  277  556  682  842  976 1046],7,279,50,149.42857142857142,623.4033614141644,3.0731363,0.10785672,606.558029061334,2.8612333490774033,0.44915392994880676,311.84514367510764,0.8999837034534338
0,35,10,Median,40,[   0  227  277  554  681  842  976 1046],7,277,50,149.42857142857142,620.9173413016125,3.064437,0.10710301,604.4146619144271,2.8964281609441196,0.4469052851200104,308.75521754308875,0.9027614798701592
0,35,10,Mode,40,[   0  227  277  556  682  842  976 1046],7,279,50,149.42857142857142,623.4033614141644,3.0731363,0.10785672,606.558029061334,2.8612333490774033,0.44915392994880676,311.84514367510764,0.8999837034534338
0,35,10,Median,40,[   0  227  277  554  681  842  976 1046],7,277,50,149.42857142857142,620.9173413016125,3.064437,0.10710301,604.4146619144271,2.8964281609441196,0.4469052851200104,308.75521754308875,0.9027614798701592
0,35,10,Mode,40,[   0  227  277  556  682  842  976 1046],7,279,50,149.42857142857142,623.4033614141644,3.0731363,0.10785672,606.558029061334,2.8612333490774033,0.44915392994880676,311.84514367510764,0.8999837034534338
0,35,10,Median,40,[   0  227  277  554  681  842  976 1046],7,277,50,149.42857142857142,620.9173413016125,3.064437,0.10710301,604.4146619144271,2.8964281609441196,0.4469052851200104,308.75521754308875,0.9027614798701592
0,35,10,Mode,40,[   0  227  277  556  682  842  976 1046],7,279,50,149.42857142857142,623.4033614141644,3.0731363,0.10785672,606.558029061334,2.8612333490774033,0.44915392994880676,311.84514367510764,0.8999837034534338
0,35,10,Median,40,[   0  227  277  556  681  842  976 1046],7,279,50,149.42857142857142,622.5195095019734,3.0726073,0.10779492,605.5476630635461,2.8614173438820822,0.44868338108062744,310.28578183411935,0.9003180254585774
0,35,10,Mode,40,[   0  227  277  556  682  842  976 1046],7,279,50,149.42857142857142,623.4033614141644,3.0731363,0.10785672,606.558029061334,2.8612333490774033,0.44915392994880676,311.84514367510764,0.8999837034534338
0,35,10,Median,40,[   0  110  261  304  556  681  795  842  976 1046],9,252,43,116.22222222222223,383.2079401391646,2.5143323,0.035161335,496.7861259353312,3.375003058894192,0.36598265171051025,200.61251040568087,1.1377770640756246
0,35,10,Mode,40,[   0  110  261  304  556  682  795  842  976 1046],9,252,43,116.22222222222223,383.76939761098004,2.5170212,0.035468582,498.38701904609786,3.3751965872883742,0.3672432005405426,202.58974915985857,1.133883054778515
0,35,10,Median,40,[   0  110  261  304  556  681  795  842  976 1046],9,252,43,116.22222222222223,383.2079401391646,2.5143323,0.035161335,496.7861259353312,3.375003058894192,0.36598265171051025,200.61251040568087,1.1377770640756246
0,35,10,Mode,40,[   0  110  261  304  556  682  795  842  976 1046],9,252,43,116.22222222222223,383.76939761098004,2.5170212,0.035468582,498.38701904609786,3.3751965872883742,0.3672432005405426,202.58974915985857,1.133883054778515
0,35,10,Median,40,[   0  110  261  304  556  682  795  842  976 1046],9,252,43,116.22222222222223,383.76939761098004,2.5170212,0.035468582,498.38701904609786,3.3751965872883742,0.3672432005405426,202.58974915985857,1.133883054778515
0,35,10,Mode,40,[   0  110  261  304  556  682  795  842  976 1046],9,252,43,116.22222222222223,383.76939761098004,2.5170212,0.035468582,498.38701904609786,3.3751965872883742,0.3672432005405426,202.58974915985857,1.133883054778515
0,35,10,Median,40,[   0  110  261  329  556  682  795  842  976 1046],9,227,47,116.22222222222223,407.5931472730382,2.517552,0.037474602,501.4652341666332,3.3316449968961375,0.3620007336139679,211.57716032702413,1.1321213411596918
