St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  222 1046]
40,50,20,Mode,40,[   0  132  568 1046]
40,50,20,Median,40,[   0  158  285 1046]
40,50,20,Mode,40,[   0  132  277 1046]
40,50,20,Median,40,[   0  158  285 1046]
40,50,20,Mode,40,[   0  132  277 1046]
40,50,20,Median,40,[   0  158  281 1046]
40,50,20,Mode,40,[   0  132  277 1046]
40,50,20,Median,40,[   0  132  206  285 1046]
40,50,20,Mode,40,[   0  132  197  277 1046]
40,50,20,Median,40,[   0  132  206  277  568  660 1046]
40,50,20,Mode,40,[   0  132  197  277  328  568  660 1046]
40,50,20,Median,40,[   0  132  206  277  328  568  660 1046]
40,50,20,Mode,40,[   0  132  197  277  328  568  660 1046]
40,50,20,Median,40,[   0  132  206  277  328  568  660 1046]
40,50,20,Mode,40,[   0  132  197  277  328  568  660 1046]
40,50,20,Median,40,[   0  132  206  277  328  568  660  783  933 1046]
40,50,20,Mode,40,[   0  132  197  277  328  568  660  752  933 1046]
