St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  177  779 1046]
40,50,20,Mode,40,[   0  196  855 1046]
40,50,20,Median,40,[   0  177  552 1046]
40,50,20,Mode,40,[   0  196  545 1046]
40,50,20,Median,40,[   0  177  552  779  855 1046]
40,50,20,Mode,40,[   0  196  545  779  855 1046]
40,50,20,Median,40,[   0  196  552  779  855 1046]
40,50,20,Mode,40,[   0  196  545  779  855 1046]
40,50,20,Median,40,[   0  196  552  779  855  976 1046]
40,50,20,Mode,40,[   0  196  545  779  855  976 1046]
40,50,20,Median,40,[   0  196  552  779  855  976 1046]
40,50,20,Mode,40,[   0  196  545  779  855  976 1046]
40,50,20,Median,40,[   0   85  196  487  552  779  855  976 1046]
40,50,20,Mode,40,[   0   85  196  487  545  779  855  976 1046]
40,50,20,Median,40,[   0   85  196  487  552  779  855  976 1046]
40,50,20,Mode,40,[   0   85  196  487  545  779  855  976 1046]
40,50,20,Median,40,[   0   85  196  487  552  779  855  932  976 1046]
40,50,20,Mode,40,[   0   85  196  487  545  779  855  932  976 1046]
