St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  287 1046]
40,50,20,Mode,40,[   0  337 1046]
40,50,20,Median,40,[   0   61  337 1046]
40,50,20,Mode,40,[   0  191  337 1046]
40,50,20,Median,40,[   0   61  337 1046]
40,50,20,Mode,40,[   0  191  337 1046]
40,50,20,Median,40,[   0   50  191  341 1046]
40,50,20,Mode,40,[   0   50  237  337  634  842 1046]
40,50,20,Median,40,[   0   50  191  341 1046]
40,50,20,Mode,40,[   0   50  237  337  465  634  842 1046]
40,50,20,Median,40,[   0   50  191  341  465  655  842 1046]
40,50,20,Mode,40,[   0   50  237  337  465  634  842  908 1046]
40,50,20,Median,40,[   0   50  191  237  341  465  655  842 1046]
40,50,20,Mode,40,[   0   50  191  237  337  465  634  842  908 1046]
40,50,20,Median,40,[   0   50  191  237  341  465  634  733 1046]
40,50,20,Mode,40,[   0   50  191  237  337  465  634  733  842  908 1046]
40,50,20,Median,40,[   0   50  191  237  341  465  634  733  842  908 1046]
40,50,20,Mode,40,[   0   50  191  237  337  465  634  733  842  908 1046]
