St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  210  765 1046]
40,50,20,Mode,40,[   0  137  765 1046]
40,50,20,Median,40,[   0  210  765  976 1046]
40,50,20,Mode,40,[   0  137  765  985 1046]
40,50,20,Median,40,[   0  137  325  765  976 1046]
40,50,20,Mode,40,[   0  137  339  765  985 1046]
40,50,20,Median,40,[   0  137  210  339  765  976 1046]
40,50,20,Mode,40,[   0  137  210  339  765  985 1046]
40,50,20,Median,40,[   0  137  210  339  713  765  976 1046]
40,50,20,Mode,40,[   0  137  210  339  713  765  985 1046]
40,50,20,Median,40,[   0  137  210  339  713  765  831  976 1046]
40,50,20,Mode,40,[   0  137  210  339  713  765  831  985 1046]
40,50,20,Median,40,[   0  137  210  339  488  713  765  831  976 1046]
40,50,20,Mode,40,[   0  137  210  339  713  765  831  985 1046]
40,50,20,Median,40,[   0  137  210  339  443  713  765  831  976 1046]
40,50,20,Mode,40,[   0  137  210  339  443  713  765  831  985 1046]
40,50,20,Median,40,[   0  137  210  339  443  713  765  831  922  985 1046]
40,50,20,Mode,40,[   0  137  210  339  443  713  765  831  922  985 1046]
