St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  299  752 1046]
40,50,20,Mode,40,[   0  332  752 1046]
40,50,20,Median,40,[   0  125  299  752 1046]
40,50,20,Mode,40,[   0  125  332  752 1046]
40,50,20,Median,40,[   0  125  299  752 1046]
40,50,20,Mode,40,[   0  125  332  752 1046]
40,50,20,Median,40,[   0  285  332 1046]
40,50,20,Mode,40,[   0  285  332 1046]
40,50,20,Median,40,[   0  285  332 1046]
40,50,20,Mode,40,[   0  285  332 1046]
40,50,20,Median,40,[   0  285  332 1046]
40,50,20,Mode,40,[   0  285  332 1046]
40,50,20,Median,40,[   0  285  332 1046]
40,50,20,Mode,40,[   0  285  332 1046]
40,50,20,Median,40,[   0  285  332 1046]
40,50,20,Mode,40,[   0  285  332 1046]
40,50,20,Median,40,[   0  285  332 1046]
40,50,20,Mode,40,[   0  285  332 1046]
