St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   92  912 1046]
40,50,20,Mode,40,[   0   57  912 1046]
40,50,20,Median,40,[   0   92  912 1046]
40,50,20,Mode,40,[   0   57  912 1046]
40,50,20,Median,40,[   0   92  476  779  912 1046]
40,50,20,Mode,40,[   0   57  474  779  912 1046]
40,50,20,Median,40,[   0   92  474  779  912 1046]
40,50,20,Mode,40,[   0   57  566  779  912 1046]
40,50,20,Median,40,[   0   84  285  474  779  912 1046]
40,50,20,Mode,40,[   0   57  233  474  779  912 1046]
40,50,20,Median,40,[   0   84  474  779  912  957 1046]
40,50,20,Mode,40,[   0  233  474  779  912  957 1046]
40,50,20,Median,40,[   0   92  474  779  912  957 1046]
40,50,20,Mode,40,[   0   92  474  779  912  957 1046]
40,50,20,Median,40,[   0   84  233  474  779  912  957 1046]
40,50,20,Mode,40,[   0  233  474  779  912  957 1046]
40,50,20,Median,40,[   0   92  474  779  912  957 1046]
40,50,20,Mode,40,[   0   92  474  779  912  957 1046]
