St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  227  681 1046]
40,50,20,Mode,40,[   0  227  556 1046]
40,50,20,Median,40,[   0  227  629  885 1046]
40,50,20,Mode,40,[   0  227  556  885 1046]
40,50,20,Median,40,[   0  227  556  681  885 1046]
40,50,20,Mode,40,[   0  227  556  740  885 1046]
40,50,20,Median,40,[   0  124  556  702  885 1046]
40,50,20,Mode,40,[   0  124  556  740  885 1046]
40,50,20,Median,40,[   0  124  556  681  941 1046]
40,50,20,Mode,40,[   0  124  556  740  885  941 1046]
40,50,20,Median,40,[   0  124  556  629  740  885 1046]
40,50,20,Mode,40,[   0  124  556  629  740  885 1046]
40,50,20,Median,40,[   0  124  227  487  556  629  740  885 1046]
40,50,20,Mode,40,[   0  124  227  502  556  629  740  885 1046]
40,50,20,Median,40,[   0  124  227  487  556  629  740  827  885 1046]
40,50,20,Mode,40,[   0  124  227  502  556  629  740  827  885 1046]
40,50,20,Median,40,[   0  124  227  487  556  629  740  827  885 1046]
40,50,20,Mode,40,[   0  124  227  502  556  629  740  827  885 1046]
