St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  179  845 1046]
40,50,20,Mode,40,[   0  179  845 1046]
40,50,20,Median,40,[   0  179  699  854 1046]
40,50,20,Mode,40,[   0  179  708  845 1046]
40,50,20,Median,40,[   0  162  475  708 1046]
40,50,20,Mode,40,[   0  179  475  708  845 1046]
40,50,20,Median,40,[   0  162  475  708  845  970 1046]
40,50,20,Mode,40,[   0  179  475  708  845  970 1046]
40,50,20,Median,40,[   0   81  179  475  708  845  970 1046]
40,50,20,Mode,40,[   0   81  179  475  708  845  970 1046]
40,50,20,Median,40,[   0   81  179  475  708  845  970 1046]
40,50,20,Mode,40,[   0   81  179  475  708  845  970 1046]
40,50,20,Median,40,[   0   81  179  360  475  708  845  970 1046]
40,50,20,Mode,40,[   0   81  179  360  475  708  845  970 1046]
40,50,20,Median,40,[   0   81  179  360  475  708  845  970 1046]
40,50,20,Mode,40,[   0   81  179  360  475  708  845  970 1046]
40,50,20,Median,40,[   0   81  179  360  475  708  845  970 1046]
40,50,20,Mode,40,[   0   81  179  360  475  708  845  970 1046]
