St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  391  768 1046]
40,50,20,Mode,40,[   0  310  847 1046]
40,50,20,Median,40,[   0  310  515  768 1046]
40,50,20,Mode,40,[   0  310  847 1046]
40,50,20,Median,40,[   0  310  515  685  847 1046]
40,50,20,Mode,40,[   0  310  515  685  847 1046]
40,50,20,Median,40,[   0  310  515  685  847 1046]
40,50,20,Mode,40,[   0  310  515  685  847 1046]
40,50,20,Median,40,[   0  310  515  685  768  847 1046]
40,50,20,Mode,40,[   0  310  515  685  768  847 1046]
40,50,20,Median,40,[   0  310  432  515  685  768  847 1046]
40,50,20,Mode,40,[   0  310  515  685  768  847 1046]
40,50,20,Median,40,[   0  310  432  515  685  768  847 1046]
40,50,20,Mode,40,[   0  310  515  685  768  847 1046]
40,50,20,Median,40,[   0  310  432  515  685  768  847  918 1046]
40,50,20,Mode,40,[   0  310  515  685  768  847 1046]
40,50,20,Median,40,[   0  310  432  515  685  768  847  918 1046]
40,50,20,Mode,40,[   0  310  515  685  768  847 1046]
