St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  230  714 1046]
40,50,20,Mode,40,[   0  309  503 1046]
40,50,20,Median,40,[   0  230  936 1046]
40,50,20,Mode,40,[   0  309  503 1046]
40,50,20,Median,40,[   0   47  309  658  936 1046]
40,50,20,Mode,40,[   0  137  309  503 1046]
40,50,20,Median,40,[   0   47  309  503  667  936 1046]
40,50,20,Mode,40,[   0  137  309  503  714 1046]
40,50,20,Median,40,[   0   47  137  309  503  667  936 1046]
40,50,20,Mode,40,[   0   47  137  309  503  714 1046]
40,50,20,Median,40,[   0   47  137  309  503  667  936 1046]
40,50,20,Mode,40,[   0  137  309  503  714  832 1046]
40,50,20,Median,40,[   0   47  137  304  503  562  667  936 1046]
40,50,20,Mode,40,[   0   47  137  309  503  562  714  832 1046]
40,50,20,Median,40,[   0   47  137  304  503  562  667  931  976 1046]
40,50,20,Mode,40,[   0   47  137  309  503  562  714  832  925  976 1046]
40,50,20,Median,40,[   0   47  137  304  503  562  664  714  832  931  976 1046]
40,50,20,Mode,40,[   0   47  137  309  503  562  667  714  832  925  976 1046]
