St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  968 1046]
40,50,20,Mode,40,[   0  969 1046]
40,50,20,Median,40,[   0  249  605  968 1046]
40,50,20,Mode,40,[   0  249  605  969 1046]
40,50,20,Median,40,[   0  249  341  968 1046]
40,50,20,Mode,40,[   0  249  341  969 1046]
40,50,20,Median,40,[   0  249  341  901  969 1046]
40,50,20,Mode,40,[   0  249  341  901  969 1046]
40,50,20,Median,40,[   0  249  341  559  605  901  969 1046]
40,50,20,Mode,40,[   0  249  341  559  605  901  969 1046]
40,50,20,Median,40,[   0  249  341  559  605  901  969 1046]
40,50,20,Mode,40,[   0  249  341  559  605  901  969 1046]
40,50,20,Median,40,[   0  249  341  559  605  901  969 1046]
40,50,20,Mode,40,[   0  249  341  559  605  901  969 1046]
40,50,20,Median,40,[   0  249  341  559  605  901  969 1046]
40,50,20,Mode,40,[   0  249  341  559  605  901  969 1046]
40,50,20,Median,40,[   0  168  250  559  605  901  969 1046]
40,50,20,Mode,40,[   0  168  250  559  605  901  969 1046]
