St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  367 1046]
40,50,20,Mode,40,[   0  264 1046]
40,50,20,Median,40,[   0  264 1046]
40,50,20,Mode,40,[   0  264  367 1046]
40,50,20,Median,40,[   0  264  367  568 1046]
40,50,20,Mode,40,[   0  264  367  568  776 1046]
40,50,20,Median,40,[   0  264  367  568  776  898 1046]
40,50,20,Mode,40,[   0  264  367  568  776  898 1046]
40,50,20,Median,40,[   0  264  367  568  776  898 1046]
40,50,20,Mode,40,[   0  264  367  568  776  898 1046]
40,50,20,Median,40,[   0  264  367  568  776  898 1046]
40,50,20,Mode,40,[   0  264  367  568  776  898 1046]
40,50,20,Median,40,[   0  264  367  451  568  776  898 1046]
40,50,20,Mode,40,[   0  264  367  432  568  776  898 1046]
40,50,20,Median,40,[   0  264  367  451  568  706  776  898 1046]
40,50,20,Mode,40,[   0  264  367  432  568  706  776  898 1046]
40,50,20,Median,40,[   0  164  264  367  451  568  706  776  898 1046]
40,50,20,Mode,40,[   0  164  264  367  432  568  706  776  898 1046]
