St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  190  890 1046]
40,50,20,Mode,40,[   0  190  949 1046]
40,50,20,Median,40,[   0  949 1046]
40,50,20,Mode,40,[   0  190  449  949 1046]
40,50,20,Median,40,[   0  135  449  607  949 1046]
40,50,20,Mode,40,[   0  190  449  607  949 1046]
40,50,20,Median,40,[   0  126  190  449  607  949 1046]
40,50,20,Mode,40,[   0  135  190  449  607  949 1046]
40,50,20,Median,40,[   0   41  135  190  449  607  949 1046]
40,50,20,Mode,40,[   0   41  135  190  449  607  949 1046]
40,50,20,Median,40,[   0   41  135  190  449  607  949 1046]
40,50,20,Mode,40,[   0   41  135  190  449  607  949 1046]
40,50,20,Median,40,[   0   41  135  190  449  598  639  890 1046]
40,50,20,Mode,40,[   0   41  135  190  449  607  949 1046]
40,50,20,Median,40,[   0   41  135  190  449  598  639  890 1046]
40,50,20,Mode,40,[   0   41  135  190  449  607  949 1046]
40,50,20,Median,40,[   0   41  135  190  449  598  639  890 1046]
40,50,20,Mode,40,[   0   41  135  190  449  677  949 1046]
