St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  846 1046]
40,50,20,Mode,40,[   0  307  846 1046]
40,50,20,Median,40,[   0  146  485  846 1046]
40,50,20,Mode,40,[   0  307  369  846 1046]
40,50,20,Median,40,[   0  122  369  510  846 1046]
40,50,20,Mode,40,[   0  122  307  510  846 1046]
40,50,20,Median,40,[   0  369  510  713  846 1046]
40,50,20,Mode,40,[   0  122  510  733  846 1046]
40,50,20,Median,40,[   0  369  510  713  846  973 1046]
40,50,20,Mode,40,[   0  122  510  733  846  973 1046]
40,50,20,Median,40,[   0  122  307  369  510  713  846  973 1046]
40,50,20,Mode,40,[   0  122  307  369  510  733  846  973 1046]
40,50,20,Median,40,[   0  122  307  369  510  576  713  846  973 1046]
40,50,20,Mode,40,[   0  122  307  369  510  733  846  973 1046]
40,50,20,Median,40,[   0  122  307  369  510  576  713  846  973 1046]
40,50,20,Mode,40,[   0  122  307  369  510  733  846  973 1046]
40,50,20,Median,40,[   0  122  307  369  412  510  576  713  846  973 1046]
40,50,20,Mode,40,[   0  122  307  369  412  510  733  846  973 1046]
