St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  928 1046]
40,50,20,Mode,40,[   0  562  963 1046]
40,50,20,Median,40,[   0  562  963 1046]
40,50,20,Mode,40,[   0  344  562  963 1046]
40,50,20,Median,40,[   0  562  963 1046]
40,50,20,Mode,40,[   0  344  562  963 1046]
40,50,20,Median,40,[   0  112  344  562  963 1046]
40,50,20,Mode,40,[   0  176  344  562  963 1046]
40,50,20,Median,40,[   0  112  344  562  963 1046]
40,50,20,Mode,40,[   0  176  344  562  715  826  963 1046]
40,50,20,Median,40,[   0  176  344  562  963 1046]
40,50,20,Mode,40,[   0  176  344  562  715  826  963 1046]
40,50,20,Median,40,[   0  176  344  495  562  963 1046]
40,50,20,Mode,40,[   0  176  344  495  562  715  826  963 1046]
40,50,20,Median,40,[   0  176  344  495  562  963 1046]
40,50,20,Mode,40,[   0  176  344  495  562  715  826  998 1046]
40,50,20,Median,40,[   0  176  344  495  562  635  715  826  963 1046]
40,50,20,Mode,40,[   0  176  344  495  562  635  715  826  998 1046]
