St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  152  626 1046]
40,50,20,Mode,40,[   0  152  934 1046]
40,50,20,Median,40,[   0  152  537  934 1046]
40,50,20,Mode,40,[   0  152  537  934 1046]
40,50,20,Median,40,[   0  152  309  582  934 1046]
40,50,20,Mode,40,[   0  152  276  537  934 1046]
40,50,20,Median,40,[   0  144  215  515  626  934 1046]
40,50,20,Mode,40,[   0  215  649  934 1046]
40,50,20,Median,40,[   0   82  152  515  626  934 1046]
40,50,20,Mode,40,[   0   82  152  537  934 1046]
40,50,20,Median,40,[   0   82  152  215  390  515  626  934 1046]
40,50,20,Mode,40,[   0   82  152  215  390  537  649  934 1046]
40,50,20,Median,40,[   0   82  152  215  276  537  934 1046]
40,50,20,Mode,40,[   0   82  152  215  276  537  934 1046]
40,50,20,Median,40,[   0   82  152  215  276  515  582  649 1046]
40,50,20,Mode,40,[   0   82  152  215  276  537  582  649 1046]
40,50,20,Median,40,[   0   82  152  215  276  537  582  649 1046]
40,50,20,Mode,40,[   0   82  152  215  276  537  582  649 1046]
