St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  260  792 1046]
40,50,20,Mode,40,[   0  469  946 1046]
40,50,20,Median,40,[   0  145  469  946 1046]
40,50,20,Mode,40,[   0  145  469  946 1046]
40,50,20,Median,40,[   0  145  469  702  946 1046]
40,50,20,Mode,40,[   0  145  469  702  946 1046]
40,50,20,Median,40,[   0   41  177  469  702  946 1046]
40,50,20,Mode,40,[   0   41  145  469  702  946 1046]
40,50,20,Median,40,[   0  177  577  702  946 1046]
40,50,20,Mode,40,[   0  145  575  702  946 1046]
40,50,20,Median,40,[   0   41  403  469  579  704  946 1046]
40,50,20,Mode,40,[   0   41  403  469  659  702  946 1046]
40,50,20,Median,40,[   0   41  403  469  577  702  792  946 1046]
40,50,20,Mode,40,[   0   41  403  469  575  702  792  946 1046]
40,50,20,Median,40,[   0   41  145  214  403  469  577  702  792  946 1046]
40,50,20,Mode,40,[   0   41  145  214  403  469  575  702  792  946 1046]
40,50,20,Median,40,[   0  145  214  403  469  577  702  792 1004 1046]
40,50,20,Mode,40,[   0  145  214  403  469  575  702  792  998 1046]
