St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  226  923 1046]
40,50,20,Mode,40,[   0  112  923 1046]
40,50,20,Median,40,[   0  125  526  923 1046]
40,50,20,Mode,40,[   0  112  526  923 1046]
40,50,20,Median,40,[   0  125  490  682  930 1046]
40,50,20,Mode,40,[   0  112  526  682  923 1046]
40,50,20,Median,40,[   0  112  227  490  682  930 1046]
40,50,20,Mode,40,[   0  112  227  526  682  923 1046]
40,50,20,Median,40,[   0  112  227  490  682  979 1046]
40,50,20,Mode,40,[   0  112  227  526  682  979 1046]
40,50,20,Median,40,[   0  112  227  526  682  979 1046]
40,50,20,Mode,40,[   0  112  227  526  682  979 1046]
40,50,20,Median,40,[   0  112  227  526  682  979 1046]
40,50,20,Mode,40,[   0  112  227  526  682  979 1046]
40,50,20,Median,40,[   0  112  227  526  682  979 1046]
40,50,20,Mode,40,[   0  112  227  526  682  979 1046]
40,50,20,Median,40,[   0  112  227  413  472  526  682  979 1046]
40,50,20,Mode,40,[   0  112  227  413  472  526  682  979 1046]
