St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  110 1046]
40,50,20,Mode,40,[   0  110  841 1046]
40,50,20,Median,40,[   0  109  841 1046]
40,50,20,Mode,40,[   0  110  654  841 1046]
40,50,20,Median,40,[   0  109  450  654  841 1046]
40,50,20,Mode,40,[   0  110  450  654  841 1046]
40,50,20,Median,40,[   0  109  450  654  841  988 1046]
40,50,20,Mode,40,[   0  110  450  654  841  988 1046]
40,50,20,Median,40,[   0  109  450  527  654  841  988 1046]
40,50,20,Mode,40,[   0  110  450  527  654  841  988 1046]
40,50,20,Median,40,[   0  109  450  527  654  841  988 1046]
40,50,20,Mode,40,[   0  110  333  527  654  841  988 1046]
40,50,20,Median,40,[   0  109  450  687  841  988 1046]
40,50,20,Mode,40,[   0  110  333  527  687  841  988 1046]
40,50,20,Median,40,[   0  109  450  687  841  988 1046]
40,50,20,Mode,40,[   0  110  333  527  687  841  988 1046]
40,50,20,Median,40,[   0  109  450  579  654  719  841  988 1046]
40,50,20,Mode,40,[   0  110  450  579  654  719  841  988 1046]
