St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  121  718 1046]
40,50,20,Mode,40,[   0   73  502 1046]
40,50,20,Median,40,[   0   73  657  876 1046]
40,50,20,Mode,40,[   0   73  502 1046]
40,50,20,Median,40,[   0   73  502  695  896 1046]
40,50,20,Mode,40,[   0   73  502  745  856 1046]
40,50,20,Median,40,[   0   73  502  695  896 1046]
40,50,20,Mode,40,[   0   73  502  745  856 1046]
40,50,20,Median,40,[   0   73  502  695  856  995 1046]
40,50,20,Mode,40,[   0   73  502  745  856  995 1046]
40,50,20,Median,40,[   0   73  502  669  745  856  995 1046]
40,50,20,Mode,40,[   0   73  502  669  745  856  995 1046]
40,50,20,Median,40,[   0   73  502  669  745  856  995 1046]
40,50,20,Mode,40,[   0   73  502  669  745  856  995 1046]
40,50,20,Median,40,[   0   73  170  271  502  669  745  856  995 1046]
40,50,20,Mode,40,[   0   73  170  271  502  669  745  856  995 1046]
40,50,20,Median,40,[   0   73  170  271  502  669  745  856  995 1046]
40,50,20,Mode,40,[   0   73  170  271  502  669  745  856  995 1046]
