St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   99 1046]
40,50,20,Mode,40,[   0   99  789 1046]
40,50,20,Median,40,[   0   99  473  779 1046]
40,50,20,Mode,40,[   0   99  486  789 1046]
40,50,20,Median,40,[   0   99  339  486  779 1046]
40,50,20,Mode,40,[   0   99  339  486  789 1046]
40,50,20,Median,40,[   0   99  339  486  678  789 1046]
40,50,20,Mode,40,[   0   99  339  486  678  789 1046]
40,50,20,Median,40,[   0   99  339  486  678  789 1046]
40,50,20,Mode,40,[   0   99  339  486  678  789 1046]
40,50,20,Median,40,[   0   99  339  486  678  789 1046]
40,50,20,Mode,40,[   0   99  339  486  678  789 1046]
40,50,20,Median,40,[   0   99  339  486  540  678  789 1046]
40,50,20,Mode,40,[   0   99  339  486  534  678  789 1046]
40,50,20,Median,40,[   0   99  250  486  540  678  789 1046]
40,50,20,Mode,40,[   0   99  250  486  534  678  789 1046]
40,50,20,Median,40,[   0   99  250  486  540  678  789 1046]
40,50,20,Mode,40,[   0   99  250  486  534  678  789 1046]
