St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   91  679 1046]
40,50,20,Mode,40,[   0   47  553 1046]
40,50,20,Median,40,[   0   91  553  855 1046]
40,50,20,Mode,40,[   0   47  553  855 1046]
40,50,20,Median,40,[   0   47  553  855 1046]
40,50,20,Mode,40,[   0   47  553  855 1046]
40,50,20,Median,40,[   0   47  553  679  855 1046]
40,50,20,Mode,40,[   0   47  553  679  855 1046]
40,50,20,Median,40,[   0   47  553  679  855  956 1046]
40,50,20,Mode,40,[   0   47  553  679  855  956 1046]
40,50,20,Median,40,[   0   47  553  679  855  956 1046]
40,50,20,Mode,40,[   0   47  553  679  855  956 1046]
40,50,20,Median,40,[   0   47  125  484  553  679  855  956 1046]
40,50,20,Mode,40,[   0  125  553  679  855  956 1046]
40,50,20,Median,40,[   0   47  125  484  553  679  766  855  956 1046]
40,50,20,Mode,40,[   0  125  553  679  855  956 1046]
40,50,20,Median,40,[   0   47  125  296  340  484  553  679  766  855  956 1046]
40,50,20,Mode,40,[   0   47  125  296  340  553  679  766  855  956 1046]
