St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  293  780 1046]
40,50,20,Mode,40,[   0  411  780 1046]
40,50,20,Median,40,[   0  128  471  780 1046]
40,50,20,Mode,40,[   0   52  411  780 1046]
40,50,20,Median,40,[   0   55  471  780 1046]
40,50,20,Mode,40,[   0   52  252  411  780 1046]
40,50,20,Median,40,[   0   55  416 1046]
40,50,20,Mode,40,[   0   52  252  411  616  780 1046]
40,50,20,Median,40,[   0   55  416  780  875 1046]
40,50,20,Mode,40,[   0   52  252  411  616  780  875 1046]
40,50,20,Median,40,[   0   55  411  483  780  875 1046]
40,50,20,Mode,40,[   0   52  411  483  780  875 1046]
40,50,20,Median,40,[   0  122  253  411  483  780  875 1046]
40,50,20,Mode,40,[   0  104  411  483  780  875 1046]
40,50,20,Median,40,[   0   52  122  253  411  483  563  616  780  875 1046]
40,50,20,Mode,40,[   0   52  104  411  483  574  616  780  875 1046]
40,50,20,Median,40,[   0   52  122  253  411  483  563  616  780  875 1046]
40,50,20,Mode,40,[   0   52  104  411  483  574  616  780  875 1046]
