St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  180  644 1046]
40,50,20,Mode,40,[   0   41 1046]
40,50,20,Median,40,[   0   42  431  700 1046]
40,50,20,Mode,40,[   0   41  283  700 1046]
40,50,20,Median,40,[   0   41  283  477  700 1046]
40,50,20,Mode,40,[   0   41  283  477  700 1046]
40,50,20,Median,40,[   0   41  283  477  700 1046]
40,50,20,Mode,40,[   0   41  283  477  700  951 1046]
40,50,20,Median,40,[   0   41  180  283  477  700 1046]
40,50,20,Mode,40,[   0   41  180  283  477  700  951 1046]
40,50,20,Median,40,[   0   41  180  283  477  556 1046]
40,50,20,Mode,40,[   0   41  180  283  477  573  951 1046]
40,50,20,Median,40,[   0   41  180  283  477  556  644  700 1046]
40,50,20,Mode,40,[   0   41  180  283  477  573  644  700  951 1046]
40,50,20,Median,40,[   0   41  180  283  477  556  644  700  951 1046]
40,50,20,Mode,40,[   0   41  180  283  477  573  644  700  951 1046]
40,50,20,Median,40,[   0   41  180  283  477  556  644  700  951 1046]
40,50,20,Mode,40,[   0   41  180  283  477  573  644  700  951 1046]
