St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  203  747 1046]
40,50,20,Mode,40,[   0  221  747 1046]
40,50,20,Median,40,[   0  203  882 1046]
40,50,20,Mode,40,[   0  221  882 1046]
40,50,20,Median,40,[   0   77  221  747  882 1046]
40,50,20,Mode,40,[   0   77  221  747  882 1046]
40,50,20,Median,40,[   0   77  221  616  747  882 1046]
40,50,20,Mode,40,[   0   77  221  616  747  882 1046]
40,50,20,Median,40,[   0   77  221  387  616  747  882 1046]
40,50,20,Mode,40,[   0   77  221  387  616  747  882 1046]
40,50,20,Median,40,[   0   77  221  387  616  747 1003 1046]
40,50,20,Mode,40,[   0   77  221  387  616  747 1001 1046]
40,50,20,Median,40,[   0   77  221  387  616  747  822  882 1003 1046]
40,50,20,Mode,40,[   0   77  221  387  616  747  822  882 1001 1046]
40,50,20,Median,40,[   0   77  221  387  616  747  822  882 1003 1046]
40,50,20,Mode,40,[   0   77  221  387  616  747  822  882 1001 1046]
40,50,20,Median,40,[   0   77  165  221  387  616  747  822  882 1003 1046]
40,50,20,Mode,40,[   0   77  165  221  387  616  747  822  882 1001 1046]
