St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  225  858 1046]
40,50,20,Mode,40,[   0  225  869 1046]
40,50,20,Median,40,[   0  225  869 1046]
40,50,20,Mode,40,[   0  380  869 1046]
40,50,20,Median,40,[   0  171  869 1046]
40,50,20,Mode,40,[   0  225  288  621  869 1046]
40,50,20,Median,40,[   0  171  931 1046]
40,50,20,Mode,40,[   0  225  288  869  920 1046]
40,50,20,Median,40,[   0  171  931 1046]
40,50,20,Mode,40,[   0  105  225  288  869  920 1046]
40,50,20,Median,40,[   0  105  171  311  553  791  903 1046]
40,50,20,Mode,40,[   0  105  225  288  791  869  996 1046]
40,50,20,Median,40,[   0  171  225  288  920 1046]
40,50,20,Mode,40,[   0  171  225  288  869  920  996 1046]
40,50,20,Median,40,[   0  171  225  288  791 1046]
40,50,20,Mode,40,[   0  171  225  288  791  869  996 1046]
40,50,20,Median,40,[   0  171  225  288  791  858  920 1046]
40,50,20,Mode,40,[   0  171  225  288  791  869  920  996 1046]
