St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  830 1046]
40,50,20,Mode,40,[   0  399  830 1046]
40,50,20,Median,40,[   0   83  440  830 1046]
40,50,20,Mode,40,[   0   83  399  830 1046]
40,50,20,Median,40,[   0   83  399  655  915 1046]
40,50,20,Mode,40,[   0   83  570  830 1046]
40,50,20,Median,40,[   0   83  570  706  915 1046]
40,50,20,Mode,40,[   0   83  499  830 1046]
40,50,20,Median,40,[   0   83  505  706  830  932 1046]
40,50,20,Mode,40,[   0   83  499  830  932 1046]
40,50,20,Median,40,[   0   83  505  706  830  932 1046]
40,50,20,Mode,40,[   0   83  499  830  932 1046]
40,50,20,Median,40,[   0   83  499  730  932 1046]
40,50,20,Mode,40,[   0   83  570  746  932 1046]
40,50,20,Median,40,[   0   83  499  730  932 1046]
40,50,20,Mode,40,[   0   83  570  746  932 1046]
40,50,20,Median,40,[   0   83  499  655  730  830  932 1046]
40,50,20,Mode,40,[   0   83  570  746  932 1046]
