St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  224  749 1046]
40,50,20,Mode,40,[   0  224  716 1046]
40,50,20,Median,40,[   0  224  679  892 1046]
40,50,20,Mode,40,[   0  224  716 1046]
40,50,20,Median,40,[   0   76  224  679 1046]
40,50,20,Mode,40,[   0   76  224  716 1046]
40,50,20,Median,40,[   0   76  224  679  995 1046]
40,50,20,Mode,40,[   0   76  224  716  995 1046]
40,50,20,Median,40,[   0   76  224  571  716  843  995 1046]
40,50,20,Mode,40,[   0   76  224  571  716  995 1046]
40,50,20,Median,40,[   0   76  224  571  716  843  995 1046]
40,50,20,Mode,40,[   0   76  224  571  716  995 1046]
40,50,20,Median,40,[   0   76  224  571  716  843  995 1046]
40,50,20,Mode,40,[   0   76  224  571  716  995 1046]
40,50,20,Median,40,[   0   76  224  571  716  834  892  995 1046]
40,50,20,Mode,40,[   0   76  224  571  716  834  892  995 1046]
40,50,20,Median,40,[   0   76  162  571  716  834  892  995 1046]
40,50,20,Mode,40,[   0   76  162  571  716  834  892  995 1046]
