St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  706 1046]
40,50,20,Mode,40,[   0  192  651 1046]
40,50,20,Median,40,[   0  201  601  998 1046]
40,50,20,Mode,40,[   0  450  998 1046]
40,50,20,Median,40,[   0  440  998 1046]
40,50,20,Mode,40,[   0  450  998 1046]
40,50,20,Median,40,[   0   66  450  998 1046]
40,50,20,Mode,40,[   0   66  192  450  998 1046]
40,50,20,Median,40,[   0  192  310  450  998 1046]
40,50,20,Mode,40,[   0  192  310  450  998 1046]
40,50,20,Median,40,[   0  192  310  450  651  720  998 1046]
40,50,20,Mode,40,[   0   66  192  310  450  651  706  998 1046]
40,50,20,Median,40,[   0  192  310  450  651  720  878 1046]
40,50,20,Mode,40,[   0   66  192  310  450  651  706  878 1046]
40,50,20,Median,40,[   0  192  310  450  651  720  878 1046]
40,50,20,Mode,40,[   0   66  192  310  450  651  706  878 1046]
40,50,20,Median,40,[   0  192  310  450  651  720  878 1046]
40,50,20,Mode,40,[   0   66  192  310  450  651  706  878 1046]
