St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  215  768 1046]
40,50,20,Mode,40,[   0  455  538 1046]
40,50,20,Median,40,[   0  136  820 1046]
40,50,20,Mode,40,[   0   87  538 1046]
40,50,20,Median,40,[   0  136  477  750  978 1046]
40,50,20,Mode,40,[   0   87  996 1046]
40,50,20,Median,40,[   0  136  680  770  978 1046]
40,50,20,Mode,40,[   0   87  680  770  996 1046]
40,50,20,Median,40,[   0   87  215  680  770  978 1046]
40,50,20,Mode,40,[   0   87  243  538  680  770  996 1046]
40,50,20,Median,40,[   0   87  215  434  538  680  770  978 1046]
40,50,20,Mode,40,[   0   87  243  455  538  680  770  996 1046]
40,50,20,Median,40,[   0   87  215  434  538  680  770  907 1046]
40,50,20,Mode,40,[   0   87  243  455  538  680  770  880  996 1046]
40,50,20,Median,40,[   0   87  215  434  538  680  768  821  907 1046]
40,50,20,Mode,40,[   0   87  243  455  538  680  770  821  996 1046]
40,50,20,Median,40,[   0   87  243  434  538  680  768  821  907 1046]
40,50,20,Mode,40,[   0   87  243  455  538  680  770  821  996 1046]
