St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  279  810 1046]
40,50,20,Mode,40,[   0  411  920 1046]
40,50,20,Median,40,[   0  196  411 1046]
40,50,20,Mode,40,[   0  196  411  920 1046]
40,50,20,Median,40,[   0  196  411  594  887 1046]
40,50,20,Mode,40,[   0  196  411  920 1046]
40,50,20,Median,40,[   0  196  411  920 1046]
40,50,20,Mode,40,[   0  196  411  810  920 1046]
40,50,20,Median,40,[   0  196  411  920 1046]
40,50,20,Mode,40,[   0   68  196  411  810  920 1046]
40,50,20,Median,40,[   0  196  411  920 1046]
40,50,20,Mode,40,[   0   68  196  411  810  920 1046]
40,50,20,Median,40,[   0  196  411  583  738  810  920 1046]
40,50,20,Mode,40,[   0  196  411  583  738  810  920 1046]
40,50,20,Median,40,[   0  196  351  411  583  738  810  920 1046]
40,50,20,Mode,40,[   0   68  196  351  411  583  738  810  920 1046]
40,50,20,Median,40,[   0  196  351  411  583  738  810  920 1046]
40,50,20,Mode,40,[   0   68  196  351  411  583  738  810  920 1046]
