St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  221  675 1046]
40,50,20,Mode,40,[   0  352  690 1046]
40,50,20,Median,40,[   0  491  690 1046]
40,50,20,Mode,40,[   0  161  690 1046]
40,50,20,Median,40,[   0  162  690  880 1046]
40,50,20,Mode,40,[   0  161  690  847 1046]
40,50,20,Median,40,[   0  162  352  491  880 1046]
40,50,20,Mode,40,[   0  161  352  491  847 1046]
40,50,20,Median,40,[   0  221  352  491  880 1046]
40,50,20,Mode,40,[   0  206  352  491  847 1046]
40,50,20,Median,40,[   0  221  352  491  690  754  880 1046]
40,50,20,Mode,40,[   0  206  352  491  690  754  847 1046]
40,50,20,Median,40,[   0  162  352  491  690  754  880 1046]
40,50,20,Mode,40,[   0  161  352  491  690  754  847 1046]
40,50,20,Median,40,[   0  162  352  491  638  690  847 1046]
40,50,20,Mode,40,[   0  161  352  491  638  690  847 1046]
40,50,20,Median,40,[   0  221  352  491  638  690  754  880 1046]
40,50,20,Mode,40,[   0  206  352  491  638  690  754  847 1046]
