St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  244  854 1046]
40,50,20,Mode,40,[   0   85  904 1046]
40,50,20,Median,40,[   0   85  340  854 1046]
40,50,20,Mode,40,[   0   85  340  904 1046]
40,50,20,Median,40,[   0   85  340  780 1046]
40,50,20,Mode,40,[   0   85  340  756  904 1046]
40,50,20,Median,40,[   0   85  244  340  780  880 1046]
40,50,20,Mode,40,[   0   85  340  756  904 1046]
40,50,20,Median,40,[   0   85  340  857  904 1046]
40,50,20,Mode,40,[   0   85  340  756  857  904 1046]
40,50,20,Median,40,[   0   85  340  756  805  857  904 1046]
40,50,20,Mode,40,[   0   85  340  756  805  857  904 1046]
40,50,20,Median,40,[   0   85  340  756  805  857  904 1046]
40,50,20,Mode,40,[   0   85  340  756  805  857  904 1046]
40,50,20,Median,40,[   0   85  340  756  805  857  904 1046]
40,50,20,Mode,40,[   0   85  340  756  805  857  904 1046]
40,50,20,Median,40,[   0   85  340  756  805  857  904 1046]
40,50,20,Mode,40,[   0   85  340  756  805  857  904 1046]
