St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  284  815 1046]
40,50,20,Mode,40,[   0  102  865 1046]
40,50,20,Median,40,[   0  221  620  820 1046]
40,50,20,Mode,40,[   0  102  865 1046]
40,50,20,Median,40,[   0  144  620  820 1046]
40,50,20,Mode,40,[   0  102  865 1046]
40,50,20,Median,40,[   0  102  284  461  820 1046]
40,50,20,Mode,40,[   0  102  347  467  620 1046]
40,50,20,Median,40,[   0  102  221  347  461  667  820 1046]
40,50,20,Mode,40,[   0  102  221  347  467 1046]
40,50,20,Median,40,[   0  102  221  347  461  815  865 1046]
40,50,20,Mode,40,[   0  102  221  347  467  815  865 1046]
40,50,20,Median,40,[   0  102  221  347  461  620  667  815  865 1046]
40,50,20,Mode,40,[   0  102  221  347  467  620  667  815  865 1046]
40,50,20,Median,40,[   0  102  221  347  461  815  865 1046]
40,50,20,Mode,40,[   0  102  221  347  467  815  865 1046]
40,50,20,Median,40,[   0  102  221  347  461  620  667  815  865 1046]
40,50,20,Mode,40,[   0  102  221  347  467  620  667  815  865 1046]
