St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  542 1176 2017]
40,50,20,Mode,40,[   0  542 1224 2017]
40,50,20,Median,40,[   0  542 1112 2017]
40,50,20,Mode,40,[   0  542 1224 2017]
40,50,20,Median,40,[   0  607 1112 2017]
40,50,20,Mode,40,[   0  105  542 1224 1919 2017]
40,50,20,Median,40,[   0  607 1063 2017]
40,50,20,Mode,40,[   0  105  542 1021 1224 1919 2017]
40,50,20,Median,40,[   0  542 1063 2017]
40,50,20,Mode,40,[   0  105  542 1021 1224 1919 2017]
40,50,20,Median,40,[   0  542 1063 2017]
40,50,20,Mode,40,[   0  105  542 1021 1224 1919 2017]
40,50,20,Median,40,[   0  542 1063 2017]
40,50,20,Mode,40,[   0  105  542 1021 1224 1919 2017]
40,50,20,Median,40,[   0  112  542  635 1021 1112 1919 2017]
40,50,20,Mode,40,[   0  105  542  635 1021 1112 1919 2017]
40,50,20,Median,40,[   0  105  262  542  635  749 1021 1112 1224 1919 2017]
40,50,20,Mode,40,[   0  105  248  542  635  749 1021 1112 1224 1919 2017]
