St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  573 2017]
40,50,20,Mode,40,[   0  251 2017]
40,50,20,Median,40,[   0  251  841 2017]
40,50,20,Mode,40,[   0  251  841 2017]
40,50,20,Median,40,[   0  251  841 1161 2017]
40,50,20,Mode,40,[   0  251  841 1161 2017]
40,50,20,Median,40,[   0  251  571  841 1161 2017]
40,50,20,Mode,40,[   0  251  504  841 1161 1538 2017]
40,50,20,Median,40,[   0  251  571  841 1161 1798 2017]
40,50,20,Mode,40,[   0  251  504  841 1161 1670 2017]
40,50,20,Median,40,[   0  251  571  841 1161 1798 2017]
40,50,20,Mode,40,[   0   69  251  504  841 1161 1386 1670 2017]
40,50,20,Median,40,[   0  251  571  841  954 1161 1798 2017]
40,50,20,Mode,40,[   0   69  251  504  841  954 1386 1670 2017]
40,50,20,Median,40,[   0  251  571  841  954 1386 1798 2017]
40,50,20,Mode,40,[   0   69  251  504  841  954 1386 1538 2017]
40,50,20,Median,40,[   0  251  571  841  954 1386 1538 1802 2017]
40,50,20,Mode,40,[   0   69  251  504  841  954 1386 1538 1798 2017]
