St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  574 1757 2017]
40,50,20,Mode,40,[   0  766 2017]
40,50,20,Median,40,[   0  419 2017]
40,50,20,Mode,40,[   0  419 2017]
40,50,20,Median,40,[   0  419  859 1066 2017]
40,50,20,Mode,40,[   0  419 1066 2017]
40,50,20,Median,40,[   0  261  566  859 1066 1757 2017]
40,50,20,Mode,40,[   0  206  419  766 1066 2017]
40,50,20,Median,40,[   0  261  566  859 1066 1403 2017]
40,50,20,Mode,40,[   0  206  419  766 1066 1403 2017]
40,50,20,Median,40,[   0  206  419  573  859 1066 1403 2017]
40,50,20,Mode,40,[   0  206  419  573 1066 1403 2017]
40,50,20,Median,40,[   0  206  419  573  766  859 1066 1403 2017]
40,50,20,Mode,40,[   0  206  419  573  766  859 1066 1403 2017]
40,50,20,Median,40,[   0  261  419  573  766  859 1066 1403 2017]
40,50,20,Mode,40,[   0  206  419  573  766  859 1066 1403 2017]
40,50,20,Median,40,[   0  316  573  766  859 1066 1403 2017]
40,50,20,Mode,40,[   0  316  573  766  859 1066 1403 2017]
