St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  730 2017]
40,50,20,Mode,40,[   0  994 1954 2017]
40,50,20,Median,40,[   0  611  994 2017]
40,50,20,Mode,40,[   0  611  994 2017]
40,50,20,Median,40,[   0  382  687  994 2017]
40,50,20,Mode,40,[   0  382  611  994 2017]
40,50,20,Median,40,[   0  382  687  994 2017]
40,50,20,Mode,40,[   0  382  611 1075 2017]
40,50,20,Median,40,[   0  382  719  994 2017]
40,50,20,Mode,40,[   0  382  687  994 2017]
40,50,20,Median,40,[   0  382  611  717  994 1083 1325 2017]
40,50,20,Mode,40,[   0  382  611  687  994 1075 1325 2017]
40,50,20,Median,40,[   0  382  611  687  994 1083 1325 2017]
40,50,20,Mode,40,[   0  382  611  687  994 1075 1325 2017]
40,50,20,Median,40,[   0  266  382  611  687  994 1083 1325 2017]
40,50,20,Mode,40,[   0  266  382  611  687  994 1075 1325 2017]
40,50,20,Median,40,[   0  266  382  472  611  687  994 1083 1325 2017]
40,50,20,Mode,40,[   0  266  382  472  611  687  994 1075 1325 2017]
