St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  391 2017]
40,50,20,Mode,40,[   0  316 2017]
40,50,20,Median,40,[   0  391 2017]
40,50,20,Mode,40,[   0  316 2017]
40,50,20,Median,40,[   0  316  573 1047 2017]
40,50,20,Mode,40,[   0  316  681 2017]
40,50,20,Median,40,[   0  374  610 1047 2017]
40,50,20,Mode,40,[   0  316  681 2017]
40,50,20,Median,40,[   0  374  610 1047 2017]
40,50,20,Mode,40,[   0  316  681 2017]
40,50,20,Median,40,[   0  316  465  624 1047 1457 1830 2017]
40,50,20,Mode,40,[   0   65  316  391  681  974 1830 2017]
40,50,20,Median,40,[   0   65  316  465  624  974 1064 1457 1830 2017]
40,50,20,Mode,40,[   0  316  465  681  974 1064 1830 2017]
40,50,20,Median,40,[   0   65  316  465  624  974 1064 1456 1830 2017]
40,50,20,Mode,40,[   0  316  391  681  974 1064 1830 2017]
40,50,20,Median,40,[   0   65  316  391  465  624  974 1064 1456 1830 2017]
40,50,20,Mode,40,[   0   65  316  391  465  681  974 1064 1830 2017]
