St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  394 2017]
40,50,20,Mode,40,[   0   70 2017]
40,50,20,Median,40,[   0  348 2017]
40,50,20,Mode,40,[   0   70 2017]
40,50,20,Median,40,[   0  166 2017]
40,50,20,Mode,40,[   0   70  520 1194 2017]
40,50,20,Median,40,[   0  166 1194 1801 2017]
40,50,20,Mode,40,[   0   70  520 1194 1567 1746 2017]
40,50,20,Median,40,[   0   70  394 1201 1801 2017]
40,50,20,Mode,40,[   0   70  348 1020 1194 1567 1746 2017]
40,50,20,Median,40,[   0   70  348  605  838 1201 1801 2017]
40,50,20,Mode,40,[   0   70  348 1020 1194 1567 1746 2017]
40,50,20,Median,40,[   0   70  348 1020 1194 1801 2017]
40,50,20,Mode,40,[   0   70  348  520  789 1020 1194 1567 1746 2017]
40,50,20,Median,40,[   0   70  348  789 1020 1194 1464 1567 1801 2017]
40,50,20,Mode,40,[   0   70  348  520  789 1020 1194 1464 1567 1746 2017]
40,50,20,Median,40,[   0   70  348  789 1020 1194 1464 1567 1746 1832 2017]
40,50,20,Mode,40,[   0   70  348  520  789 1020 1194 1464 1567 1746 1832 2017]
