St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  789 2017]
40,50,20,Mode,40,[   0  855 2017]
40,50,20,Median,40,[   0  316 2017]
40,50,20,Mode,40,[   0   54  855 1771 2017]
40,50,20,Median,40,[   0  316  855 1129 2017]
40,50,20,Mode,40,[   0   54  855 1054 2017]
40,50,20,Median,40,[   0  316  855 1119 2017]
40,50,20,Mode,40,[   0   54  855 1054 2017]
40,50,20,Median,40,[   0  346  855 1119 2017]
40,50,20,Mode,40,[   0  346  855 1054 2017]
40,50,20,Median,40,[   0  346  855 1119 1416 1549 2017]
40,50,20,Mode,40,[   0  346  855 1054 1416 1540 2017]
40,50,20,Median,40,[   0  346  855 1119 1416 1549 2017]
40,50,20,Mode,40,[   0  346  855 1054 1416 1540 2017]
40,50,20,Median,40,[   0  346  855 1119 1416 1540 1656 2017]
40,50,20,Mode,40,[   0  346  855 1054 1416 1540 1656 2017]
40,50,20,Median,40,[   0  346  855 1122 1416 1540 1656 2017]
40,50,20,Mode,40,[   0   54  346  855 1054 1129 1416 1540 1656 2017]
