St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  724 1817 2017]
40,50,20,Mode,40,[   0   41 2017]
40,50,20,Median,40,[   0  350 1917 2017]
40,50,20,Mode,40,[   0   41 1969 2017]
40,50,20,Median,40,[   0  179  735 1166 1917 2017]
40,50,20,Mode,40,[   0   41  837 1166 1969 2017]
40,50,20,Median,40,[   0   41  367  769 1166 1917 2017]
40,50,20,Mode,40,[   0   41  367  837 1166 1969 2017]
40,50,20,Median,40,[   0   41  367  769  961 1166 1917 2017]
40,50,20,Mode,40,[   0   41  367  837 1166 1969 2017]
40,50,20,Median,40,[   0   41  542  961 1166 1917 2017]
40,50,20,Mode,40,[   0   41  542  837 1166 1969 2017]
40,50,20,Median,40,[   0   41  542  961 1166 1917 2017]
40,50,20,Mode,40,[   0   41  542  837 1166 1321 1969 2017]
40,50,20,Median,40,[   0   41  542  961 1166 1821 2017]
40,50,20,Mode,40,[   0   41  542  837 1166 1817 2017]
40,50,20,Median,40,[   0   41  542  961 1166 1821 2017]
40,50,20,Mode,40,[   0   41  542  837 1166 1817 2017]
