St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  594 2017]
40,50,20,Mode,40,[   0  594 2017]
40,50,20,Median,40,[   0  316 1668 2017]
40,50,20,Mode,40,[   0  594 1835 2017]
40,50,20,Median,40,[   0  179  638 1808 2017]
40,50,20,Mode,40,[   0   98  594 1171 1835 2017]
40,50,20,Median,40,[   0  179  638 1171 1333 1835 2017]
40,50,20,Mode,40,[   0   98  594 1171 1324 1835 2017]
40,50,20,Median,40,[   0  179  594  845 1171 1333 1835 2017]
40,50,20,Mode,40,[   0   98  594  845 1171 1324 1835 2017]
40,50,20,Median,40,[   0  179  594  845 1171 1324 1489 1835 2017]
40,50,20,Mode,40,[   0   98  594  845 1171 1324 1459 1835 2017]
40,50,20,Median,40,[   0  178  594  845 1171 1324 1489 1835 2017]
40,50,20,Mode,40,[   0   98  316  594  845 1171 1324 1459 1835 2017]
40,50,20,Median,40,[   0  178  594  845 1171 1324 1489 1668 1835 2017]
40,50,20,Mode,40,[   0   98  316  594  845 1171 1324 1459 1668 1835 2017]
40,50,20,Median,40,[   0  178  594  845 1046 1171 1324 1489 1668 1835 2017]
40,50,20,Mode,40,[   0   98  316  594  845 1046 1171 1324 1459 1668 1835 2017]
