St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  785 1516 2017]
40,50,20,Mode,40,[   0  800 1359 2017]
40,50,20,Median,40,[   0  166 1552 2017]
40,50,20,Mode,40,[   0  132 1359 2017]
40,50,20,Median,40,[   0  166  800 1307 1709 2017]
40,50,20,Mode,40,[   0  132 1552 2017]
40,50,20,Median,40,[   0  166  909 1333 1709 2017]
40,50,20,Mode,40,[   0  132  576  800 1552 2017]
40,50,20,Median,40,[   0  166 1251 1552 1753 2017]
40,50,20,Mode,40,[   0  132  576  800 1552 2017]
40,50,20,Median,40,[   0  166  608  800  960 1552 1753 2017]
40,50,20,Mode,40,[   0  132  576  800  960 1359 1552 2017]
40,50,20,Median,40,[   0  166  608  800  960 1719 2017]
40,50,20,Mode,40,[   0  132  576  800  960 1359 1644 2017]
40,50,20,Median,40,[   0  166  608  800  960 1552 1753 2017]
40,50,20,Mode,40,[   0  132  576  800  960 1248 1359 1552 2017]
40,50,20,Median,40,[   0  132  608  800  960 1552 1753 2017]
40,50,20,Mode,40,[   0  132  576  800  960 1248 1359 1552 2017]
