St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1409 2017]
40,50,20,Mode,40,[   0  494 1608 2017]
40,50,20,Median,40,[   0  440  959 1608 2017]
40,50,20,Mode,40,[   0  494  809 1608 2017]
40,50,20,Median,40,[   0  440  854 1228 1608 2017]
40,50,20,Mode,40,[   0  494  809 1608 2017]
40,50,20,Median,40,[   0  220  494  854 1228 1608 2017]
40,50,20,Mode,40,[   0  220  494 1608 2017]
40,50,20,Median,40,[   0  220  494  854 2017]
40,50,20,Mode,40,[   0  220  494 1608 2017]
40,50,20,Median,40,[   0  220  494  809  964 1336 1608 2017]
40,50,20,Mode,40,[   0  220  494  809 1336 1608 2017]
40,50,20,Median,40,[   0  220  494  809  959 1336 1608 2017]
40,50,20,Mode,40,[   0  220  494  809  959 1095 1336 1608 2017]
40,50,20,Median,40,[   0   41  220  494  809  959 1336 1608 2017]
40,50,20,Mode,40,[   0   41  220  494  809  959 1095 1336 1608 2017]
40,50,20,Median,40,[   0   41  220  494  809  959 1336 1608 2017]
40,50,20,Mode,40,[   0   41  220  494  809  959 1095 1336 1608 2017]
