St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  790 1776 2017]
40,50,20,Mode,40,[   0  893 1893 2017]
40,50,20,Median,40,[   0  893 1846 2017]
40,50,20,Mode,40,[   0  893 1893 2017]
40,50,20,Median,40,[   0  893 1408 1893 2017]
40,50,20,Mode,40,[   0  893 1338 1893 2017]
40,50,20,Median,40,[   0  752 1893 2017]
40,50,20,Mode,40,[   0  323  752  893 1338 1893 2017]
40,50,20,Median,40,[   0  119  323  752  934 1408 1893 2017]
40,50,20,Mode,40,[   0  119  323  752  893 1338 1893 2017]
40,50,20,Median,40,[   0  119  323  752  893 1734 1893 2017]
40,50,20,Mode,40,[   0  119  323  752  893 1734 1893 2017]
40,50,20,Median,40,[   0  119  323  752  934 1416 1893 2017]
40,50,20,Mode,40,[   0  119  323  752  893 1734 1893 2017]
40,50,20,Median,40,[   0  119  323  752  893  982 1270 1734 1893 2017]
40,50,20,Mode,40,[   0  119  323  752  893  982 1338 1893 2017]
40,50,20,Median,40,[   0  119  323  392  752  893  982 1270 1734 1893 2017]
40,50,20,Mode,40,[   0  119  323  392  752  893  982 1338 1893 2017]
