St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1792 2017]
40,50,20,Mode,40,[   0  202 2017]
40,50,20,Median,40,[   0  202 1792 2017]
40,50,20,Mode,40,[   0  202 2017]
40,50,20,Median,40,[   0  202 2017]
40,50,20,Mode,40,[   0  202 1431 1841 2017]
40,50,20,Median,40,[   0  202 2017]
40,50,20,Mode,40,[   0  202 1431 1841 2017]
40,50,20,Median,40,[   0  202  588  793 1885 2017]
40,50,20,Mode,40,[   0  202  588  793 1431 1841 2017]
40,50,20,Median,40,[   0  202 1431 1583 1885 2017]
40,50,20,Mode,40,[   0  202  588  793 1431 1647 2017]
40,50,20,Median,40,[   0  202 1431 1583 1885 2017]
40,50,20,Mode,40,[   0  202  588  793 1431 1647 2017]
40,50,20,Median,40,[   0  202 1431 1583 1841 1898 2017]
40,50,20,Mode,40,[   0  202 1431 1647 1841 1885 2017]
40,50,20,Median,40,[   0  202  415  588  793 1431 1583 1841 1898 2017]
40,50,20,Mode,40,[   0  202  415  588  793 1431 1647 1841 1885 2017]
