St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  206 1256 2017]
40,50,20,Mode,40,[   0  122 1780 2017]
40,50,20,Median,40,[   0  122 1002 1780 2017]
40,50,20,Mode,40,[   0  122  894 1780 2017]
40,50,20,Median,40,[   0  122  521 1780 2017]
40,50,20,Mode,40,[   0  122  521  894 1780 2017]
40,50,20,Median,40,[   0  122  521  946 1780 2017]
40,50,20,Mode,40,[   0  122  521  894 1175 1780 2017]
40,50,20,Median,40,[   0  122  521  946 1673 2017]
40,50,20,Mode,40,[   0  122  521  894 1175 1673 2017]
40,50,20,Median,40,[   0  122  521  946 1127 1306 1673 2017]
40,50,20,Mode,40,[   0  122  521  894 1175 1306 1673 2017]
40,50,20,Median,40,[   0  122  521  683  946 1127 1306 1673 2017]
40,50,20,Mode,40,[   0  122  521  683  894 1175 1306 2017]
40,50,20,Median,40,[   0  122  206  521  683  946 1127 1306 1673 2017]
40,50,20,Mode,40,[   0  122  206  521  683  894 1175 1306 1673 2017]
40,50,20,Median,40,[   0  122  206  521  683  931 1002 1175 1306 1673 2017]
40,50,20,Mode,40,[   0  122  206  521  683  894 1002 1175 1306 1673 2017]
