St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  483 1494 2017]
40,50,20,Mode,40,[   0  154 1519 2017]
40,50,20,Median,40,[   0  212 1016 1519 2017]
40,50,20,Mode,40,[   0  154 1016 1519 2017]
40,50,20,Median,40,[   0  212  705 1141 1519 2017]
40,50,20,Mode,40,[   0  154  836 1016 1519 2017]
40,50,20,Median,40,[   0  212  705 1108 1759 2017]
40,50,20,Mode,40,[   0  154  836 1016 1519 2017]
40,50,20,Median,40,[   0  154  836 1108 1759 2017]
40,50,20,Mode,40,[   0  154  836 1016 1519 2017]
40,50,20,Median,40,[   0  154  836 1108 1444 1660 1759 2017]
40,50,20,Mode,40,[   0  154  836 1016 1519 1660 1759 2017]
40,50,20,Median,40,[   0  154  836 1108 1444 1660 1759 2017]
40,50,20,Mode,40,[   0  154  836 1016 1519 1660 1759 2017]
40,50,20,Median,40,[   0  154  836 1016 1184 1433 1519 1660 1759 2017]
40,50,20,Mode,40,[   0  154  836 1016 1184 1433 1519 1660 1759 2017]
40,50,20,Median,40,[   0  154  836 1016 1319 1660 1759 2017]
40,50,20,Mode,40,[   0  154  836 1016 1319 1519 1660 1759 2017]
