St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  744  906 2017]
40,50,20,Mode,40,[   0  744  906 2017]
40,50,20,Median,40,[   0  744  906 2017]
40,50,20,Mode,40,[   0  744  906 2017]
40,50,20,Median,40,[   0  744  906 2017]
40,50,20,Mode,40,[   0  744  906 2017]
40,50,20,Median,40,[   0  879 1022 2017]
40,50,20,Mode,40,[   0  879 1022 2017]
40,50,20,Median,40,[   0  879 1022 2017]
40,50,20,Mode,40,[   0  879 1022 2017]
40,50,20,Median,40,[   0  879 1022 2017]
40,50,20,Mode,40,[   0  879 1022 2017]
40,50,20,Median,40,[   0  879 1022 2017]
40,50,20,Mode,40,[   0  879 1022 2017]
40,50,20,Median,40,[   0  879 1022 2017]
40,50,20,Mode,40,[   0  879 1022 2017]
40,50,20,Median,40,[   0  879 1022 2017]
40,50,20,Mode,40,[   0  879 1022 2017]
