St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  212 1312 2017]
40,50,20,Mode,40,[   0  146 1376 2017]
40,50,20,Median,40,[   0  146  939 2017]
40,50,20,Mode,40,[   0  146  752 2017]
40,50,20,Median,40,[   0  146  927 2017]
40,50,20,Mode,40,[   0  146  752 1698 2017]
40,50,20,Median,40,[   0  146  727 2017]
40,50,20,Mode,40,[   0  146  939 1376 1698 2017]
40,50,20,Median,40,[   0  146  727 1029 1376 1555 2017]
40,50,20,Mode,40,[   0  146  939 1376 1556 2017]
40,50,20,Median,40,[   0  146  331  727 1029 1376 1555 2017]
40,50,20,Mode,40,[   0  146  331  939 1376 1556 2017]
40,50,20,Median,40,[   0  331  939 1071 1555 2017]
40,50,20,Mode,40,[   0  331  939 1056 1556 2017]
40,50,20,Median,40,[   0  331  939 1071 1555 2017]
40,50,20,Mode,40,[   0  331  939 1056 1556 2017]
40,50,20,Median,40,[   0   54  331  939 1071 1555 2017]
40,50,20,Mode,40,[   0   54  331  939 1056 1376 1556 2017]
