St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  485 1544 2017]
40,50,20,Mode,40,[   0  421 2017]
40,50,20,Median,40,[   0  391 2017]
40,50,20,Mode,40,[   0  421 1164 1544 2017]
40,50,20,Median,40,[   0  391 1544 1952 2017]
40,50,20,Mode,40,[   0  421 1164 1544 1964 2017]
40,50,20,Median,40,[   0  421 1544 1952 2017]
40,50,20,Mode,40,[   0  421 1164 1544 1964 2017]
40,50,20,Median,40,[   0  421 1164 1544 1952 2017]
40,50,20,Mode,40,[   0  421 1164 1544 1964 2017]
40,50,20,Median,40,[   0  440 1164 1544 1952 2017]
40,50,20,Mode,40,[   0  421 1164 1544 1964 2017]
40,50,20,Median,40,[   0  440 1164 1544 1964 2017]
40,50,20,Mode,40,[   0  421 1164 1544 1964 2017]
40,50,20,Median,40,[   0  440  880 1035 1544 1964 2017]
40,50,20,Mode,40,[   0  421 1164 1544 1964 2017]
40,50,20,Median,40,[   0  440 1164 1544 1964 2017]
40,50,20,Mode,40,[   0  421 1164 1274 1544 1964 2017]
