St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  722 1478 2017]
40,50,20,Mode,40,[   0  722 1478 2017]
40,50,20,Median,40,[   0  357 1478 2017]
40,50,20,Mode,40,[   0  334 1478 2017]
40,50,20,Median,40,[   0  357 1784 2017]
40,50,20,Mode,40,[   0  334 1478 1784 2017]
40,50,20,Median,40,[   0  357 1094 1436 1784 2017]
40,50,20,Mode,40,[   0  334 1478 1784 2017]
40,50,20,Median,40,[   0  357 1094 1436 1710 1919 2017]
40,50,20,Mode,40,[   0  334 1478 1784 2017]
40,50,20,Median,40,[   0  375 1094 1436 1710 1953 2017]
40,50,20,Mode,40,[   0  334 1478 1784 2017]
40,50,20,Median,40,[   0  375  894 1094 1436 1710 1919 2017]
40,50,20,Mode,40,[   0  334 1478 1784 2017]
40,50,20,Median,40,[   0  375  894 1094 1478 1733 2017]
40,50,20,Mode,40,[   0  334 1478 1784 2017]
40,50,20,Median,40,[   0  375  894 1094 1478 1640 1784 2017]
40,50,20,Mode,40,[   0  334 1478 1643 1784 2017]
