St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  315 1460 2017]
40,50,20,Mode,40,[   0   52 1371 2017]
40,50,20,Median,40,[   0   58  743 2017]
40,50,20,Mode,40,[   0   52  991 1371 2017]
40,50,20,Median,40,[   0   58  698 1799 2017]
40,50,20,Mode,40,[   0   52  991 1371 1776 2017]
40,50,20,Median,40,[   0   58  624  991 1799 2017]
40,50,20,Mode,40,[   0   52  624  991 1371 1776 2017]
40,50,20,Median,40,[   0   52  315  624  991 1799 2017]
40,50,20,Mode,40,[   0   52  266  624  991 1371 2017]
40,50,20,Median,40,[   0   52  315  624  991 1417 1583 2017]
40,50,20,Mode,40,[   0   52  266  624  991 1371 1583 1776 2017]
40,50,20,Median,40,[   0   52  266  581  869 1417 1583 2017]
40,50,20,Mode,40,[   0   52  266  624  991 1371 1583 1776 2017]
40,50,20,Median,40,[   0   52  266  501  624 1127 1417 1583 2017]
40,50,20,Mode,40,[   0   52  266  624 1127 1371 1583 1776 2017]
40,50,20,Median,40,[   0   52  266  624  991 1417 1583 1776 2017]
40,50,20,Mode,40,[   0   52  266  501  624  991 1371 1583 1776 2017]
