St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1592 2017]
40,50,20,Mode,40,[   0  362 2017]
40,50,20,Median,40,[   0  366  915 1592 2017]
40,50,20,Mode,40,[   0  362 2017]
40,50,20,Median,40,[   0  366  915 1353 2017]
40,50,20,Mode,40,[   0  362 1088 1294 2017]
40,50,20,Median,40,[   0  362  604 1336 2017]
40,50,20,Mode,40,[   0  362  481 1088 1294 2017]
40,50,20,Median,40,[   0  124  481  918 1336 1636 1966 2017]
40,50,20,Mode,40,[   0  362 1088 1294 1966 2017]
40,50,20,Median,40,[   0  420  692 1336 1636 1966 2017]
40,50,20,Mode,40,[   0  362  692 1088 1294 1966 2017]
40,50,20,Median,40,[   0  362  692 1336 1636 1966 2017]
40,50,20,Mode,40,[   0  362  692 1088 1294 1966 2017]
40,50,20,Median,40,[   0  362  692 1088 1336 1636 1966 2017]
40,50,20,Mode,40,[   0  362  692 1088 1294 1966 2017]
40,50,20,Median,40,[   0  362  482  692 1088 1294 1528 1651 1966 2017]
40,50,20,Mode,40,[   0  362  692 1088 1294 1532 1651 1966 2017]
