St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  548 2019]
40,50,20,Mode,40,[   0  845 1582 2019]
40,50,20,Median,40,[   0  483  845 1582 2019]
40,50,20,Mode,40,[   0  530  845 1582 2019]
40,50,20,Median,40,[   0  393  845 1142 1582 2019]
40,50,20,Mode,40,[   0  530  845 1030 1582 2019]
40,50,20,Median,40,[   0  348  530  845 1142 1582 2019]
40,50,20,Mode,40,[   0  348  530  845 1030 1582 2019]
40,50,20,Median,40,[   0  348  530  845 1142 1713 2019]
40,50,20,Mode,40,[   0  348  530  845 1030 1582 2019]
40,50,20,Median,40,[   0  348  530  845 1009 1582 2019]
40,50,20,Mode,40,[   0  348  530  845 1582 2019]
40,50,20,Median,40,[   0  348  530  845 1029 1582 2019]
40,50,20,Mode,40,[   0  348  530  845 1030 1268 1582 2019]
40,50,20,Median,40,[   0  348  530  845 1029 1582 2019]
40,50,20,Mode,40,[   0  348  530  845 1030 1268 1582 2019]
40,50,20,Median,40,[   0  348  530  845 1029 1582 2019]
40,50,20,Mode,40,[   0  348  530  845 1030 1268 1582 2019]
