St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  568 1339 2019]
40,50,20,Mode,40,[   0  727 1311 2019]
40,50,20,Median,40,[   0  568 1335 2019]
40,50,20,Mode,40,[   0  727 1311 1732 2019]
40,50,20,Median,40,[   0  574 1335 2019]
40,50,20,Mode,40,[   0  169  727 1311 1732 2019]
40,50,20,Median,40,[   0  567  727 1335 2019]
40,50,20,Mode,40,[   0  567  727 1311 2019]
40,50,20,Median,40,[   0  567  727 1335 2019]
40,50,20,Mode,40,[   0  567  727 1311 2019]
40,50,20,Median,40,[   0  567  727 1335 2019]
40,50,20,Mode,40,[   0  567  727 1311 2019]
40,50,20,Median,40,[   0  567  727 1335 2019]
40,50,20,Mode,40,[   0  567  727  833 1136 2019]
40,50,20,Median,40,[   0  396  567  727  833 1136 1335 2019]
40,50,20,Mode,40,[   0  396  567  727  833 1136 1311 2019]
40,50,20,Median,40,[   0  396  567  727  833 1136 1335 2019]
40,50,20,Mode,40,[   0  396  567  727  833 1136 1311 2019]
