St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  370 2019]
40,50,20,Mode,40,[   0  393 2019]
40,50,20,Median,40,[   0  309 2019]
40,50,20,Mode,40,[   0  393 2019]
40,50,20,Median,40,[   0  370 2019]
40,50,20,Mode,40,[   0  393 2019]
40,50,20,Median,40,[   0  361 1158 1516 2019]
40,50,20,Mode,40,[   0  393 2019]
40,50,20,Median,40,[   0  361 2019]
40,50,20,Mode,40,[   0  393 2019]
40,50,20,Median,40,[   0  361 2019]
40,50,20,Mode,40,[   0  393 2019]
40,50,20,Median,40,[   0  361 1428 1524 2019]
40,50,20,Mode,40,[   0  393 1457 1518 2019]
40,50,20,Median,40,[   0  309  393 1428 1524 2019]
40,50,20,Mode,40,[   0  309  393 1158 1457 1518 2019]
40,50,20,Median,40,[   0  309  393 1386 1518 1614 2019]
40,50,20,Mode,40,[   0  309  393  576  737 1158 1386 1457 1792 2019]
