St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  525 1109 2017]
40,50,20,Mode,40,[   0  550 1109 2017]
40,50,20,Median,40,[   0  525 1109 2017]
40,50,20,Mode,40,[   0  550 1109 2017]
40,50,20,Median,40,[   0  405  550 1109 2017]
40,50,20,Mode,40,[   0  405  550 1109 2017]
40,50,20,Median,40,[   0  405  550 1109 2017]
40,50,20,Mode,40,[   0  405  550  721 1109 1490 2017]
40,50,20,Median,40,[   0  405  550 1109 2017]
40,50,20,Mode,40,[   0  405  550 1109 2017]
40,50,20,Median,40,[   0  405  550  710 1109 1490 2017]
40,50,20,Mode,40,[   0  405  550  721 1109 1490 2017]
40,50,20,Median,40,[   0  405  550  710 1109 1490 2017]
40,50,20,Mode,40,[   0  405  550  721 1109 1490 2017]
40,50,20,Median,40,[   0  405  550  710 1109 1490 2017]
40,50,20,Mode,40,[   0  405  550  721 1109 1490 2017]
40,50,20,Median,40,[   0  405  550  710 1109 1490 2017]
40,50,20,Mode,40,[   0  405  550  721 1109 1490 2017]
