St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  618 1034 2017]
40,50,20,Mode,40,[   0  618 1034 2017]
40,50,20,Median,40,[   0  560 1034 1823 2017]
40,50,20,Mode,40,[   0  618 1034 1838 2017]
40,50,20,Median,40,[   0  275 1034 1823 2017]
40,50,20,Mode,40,[   0   79 1034 1838 2017]
40,50,20,Median,40,[   0  275  618  854 1034 1823 2017]
40,50,20,Mode,40,[   0   79  773 1034 1838 2017]
40,50,20,Median,40,[   0  275  618  854 1034 1823 2017]
40,50,20,Mode,40,[   0   79  773 1034 1193 1838 2017]
40,50,20,Median,40,[   0  329  618  854 1034 1823 2017]
40,50,20,Mode,40,[   0  294 1034 1838 2017]
40,50,20,Median,40,[   0  329  773  908 1034 1823 2017]
40,50,20,Mode,40,[   0  294  773  854 1034 1838 2017]
40,50,20,Median,40,[   0  329  560  618  773  908 1034 1823 2017]
40,50,20,Mode,40,[   0  294  560  618  773  854 1034 1838 2017]
40,50,20,Median,40,[   0  329  560  618  773  854  986 1034 1823 2017]
40,50,20,Mode,40,[   0  294  560  618  946 1034 1838 2017]
