St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1744 2017]
40,50,20,Mode,40,[   0  350 1740 2017]
40,50,20,Median,40,[   0  311  678 1744 2017]
40,50,20,Mode,40,[   0  350 1063 1740 2017]
40,50,20,Median,40,[   0  311  678 1542 1832 2017]
40,50,20,Mode,40,[   0  350 1063 1567 2017]
40,50,20,Median,40,[   0  311  655 1063 1542 1832 2017]
40,50,20,Mode,40,[   0  350 1063 1567 2017]
40,50,20,Median,40,[   0   70  350  655 1063 1542 1832 2017]
40,50,20,Mode,40,[   0  350 1063 1567 2017]
40,50,20,Median,40,[   0   70  350  637  854 1063 1542 1832 2017]
40,50,20,Mode,40,[   0  350  678  854 1063 1567 2017]
40,50,20,Median,40,[   0   70  350  637  854 1063 1542 1740 1870 2017]
40,50,20,Mode,40,[   0   70  350  678  854 1063 1567 1740 1838 2017]
40,50,20,Median,40,[   0   70  350  637  854 1063 1545 1740 1870 2017]
40,50,20,Mode,40,[   0   70  350  678  854 1063 1567 1740 1838 2017]
40,50,20,Median,40,[   0   70  222  350  637  854 1063 1545 1740 1870 2017]
40,50,20,Mode,40,[   0   70  222  350  678  854 1063 1567 1740 1838 2017]
