St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  823 2017]
40,50,20,Mode,40,[   0 1037 1360 2017]
40,50,20,Median,40,[   0  432  920 2017]
40,50,20,Mode,40,[   0  474 2017]
40,50,20,Median,40,[   0  432  891 1366 1810 2017]
40,50,20,Mode,40,[   0  474 1360 1913 2017]
40,50,20,Median,40,[   0  474  891 1366 1810 2017]
40,50,20,Mode,40,[   0  474 1360 1913 2017]
40,50,20,Median,40,[   0  474  838 1078 1810 2017]
40,50,20,Mode,40,[   0  474  838 1037 1913 2017]
40,50,20,Median,40,[   0  474  838 1078 1826 2017]
40,50,20,Mode,40,[   0  474  838 1037 1913 2017]
40,50,20,Median,40,[   0  502  838 1078 1826 2017]
40,50,20,Mode,40,[   0  474  838 1037 1913 2017]
40,50,20,Median,40,[   0  502  838 1037 1202 1826 2017]
40,50,20,Mode,40,[   0  474  838 1037 1162 1913 2017]
40,50,20,Median,40,[   0  502  838 1037 1162 1913 2017]
40,50,20,Mode,40,[   0  474  838 1037 1162 1913 2017]
